Probando con: LR = 0.05 | Gamma: 0.65 | Epsilon: 0.05
Nuevo mejor promedio obtenido: 21.9028. LR: 0.05 | Gamma: 0.65 | Epsilon: 0.05
Probando con: LR = 0.05 | Gamma: 0.65 | Epsilon: 0.10
Promedio obtenido: 21.9226 [LR: 0.05 | Gamma: 0.65 | Epsilon: 0.10]
Probando con: LR = 0.05 | Gamma: 0.65 | Epsilon: 0.20
Promedio obtenido: 22.1269 [LR: 0.05 | Gamma: 0.65 | Epsilon: 0.20]
Probando con: LR = 0.05 | Gamma: 0.70 | Epsilon: 0.05
Promedio obtenido: 22.0613 [LR: 0.05 | Gamma: 0.70 | Epsilon: 0.05]
Probando con: LR = 0.05 | Gamma: 0.70 | Epsilon: 0.10
Promedio obtenido: 21.942 [LR: 0.05 | Gamma: 0.70 | Epsilon: 0.10]
Probando con: LR = 0.05 | Gamma: 0.70 | Epsilon: 0.20
Promedio obtenido: 22.0967 [LR: 0.05 | Gamma: 0.70 | Epsilon: 0.20]
Probando con: LR = 0.05 | Gamma: 0.75 | Epsilon: 0.05
Promedio obtenido: 21.9729 [LR: 0.05 | Gamma: 0.75 | Epsilon: 0.05]
Probando con: LR = 0.05 | Gamma: 0.75 | Epsilon: 0.10
Promedio obtenido: 22.1312 [LR: 0.05 | Gamma: 0.75 | Epsilon: 0.10]
Probando con: LR = 0.05 | Gamma: 0.75 | Epsilon: 0.20
Nuevo mejor promedio obtenido: 21.605. LR: 0.05 | Gamma: 0.75 | Epsilon: 0.20
Probando con: LR = 0.05 | Gamma: 0.80 | Epsilon: 0.05
Promedio obtenido: 22.2401 [LR: 0.05 | Gamma: 0.80 | Epsilon: 0.05]
Probando con: LR = 0.05 | Gamma: 0.80 | Epsilon: 0.10
Promedio obtenido: 21.9184 [LR: 0.05 | Gamma: 0.80 | Epsilon: 0.10]
Probando con: LR = 0.05 | Gamma: 0.80 | Epsilon: 0.20
Promedio obtenido: 22.2173 [LR: 0.05 | Gamma: 0.80 | Epsilon: 0.20]
Probando con: LR = 0.05 | Gamma: 0.85 | Epsilon: 0.05
Promedio obtenido: 21.9797 [LR: 0.05 | Gamma: 0.85 | Epsilon: 0.05]
Probando con: LR = 0.05 | Gamma: 0.85 | Epsilon: 0.10
Promedio obtenido: 22.0062 [LR: 0.05 | Gamma: 0.85 | Epsilon: 0.10]
Probando con: LR = 0.05 | Gamma: 0.85 | Epsilon: 0.20
Promedio obtenido: 21.7707 [LR: 0.05 | Gamma: 0.85 | Epsilon: 0.20]
Probando con: LR = 0.10 | Gamma: 0.65 | Epsilon: 0.05
Promedio obtenido: 22.8516 [LR: 0.10 | Gamma: 0.65 | Epsilon: 0.05]
Probando con: LR = 0.10 | Gamma: 0.65 | Epsilon: 0.10
Promedio obtenido: 22.0322 [LR: 0.10 | Gamma: 0.65 | Epsilon: 0.10]
Probando con: LR = 0.10 | Gamma: 0.65 | Epsilon: 0.20
Promedio obtenido: 22.7692 [LR: 0.10 | Gamma: 0.65 | Epsilon: 0.20]
Probando con: LR = 0.10 | Gamma: 0.70 | Epsilon: 0.05
Promedio obtenido: 22.1569 [LR: 0.10 | Gamma: 0.70 | Epsilon: 0.05]
Probando con: LR = 0.10 | Gamma: 0.70 | Epsilon: 0.10
Promedio obtenido: 22.0906 [LR: 0.10 | Gamma: 0.70 | Epsilon: 0.10]
Probando con: LR = 0.10 | Gamma: 0.70 | Epsilon: 0.20
Promedio obtenido: 22.1398 [LR: 0.10 | Gamma: 0.70 | Epsilon: 0.20]
Probando con: LR = 0.10 | Gamma: 0.75 | Epsilon: 0.05
Promedio obtenido: 21.769 [LR: 0.10 | Gamma: 0.75 | Epsilon: 0.05]
Probando con: LR = 0.10 | Gamma: 0.75 | Epsilon: 0.10
Promedio obtenido: 22.5324 [LR: 0.10 | Gamma: 0.75 | Epsilon: 0.10]
Probando con: LR = 0.10 | Gamma: 0.75 | Epsilon: 0.20
Promedio obtenido: 22.6662 [LR: 0.10 | Gamma: 0.75 | Epsilon: 0.20]
Probando con: LR = 0.10 | Gamma: 0.80 | Epsilon: 0.05
Promedio obtenido: 21.8916 [LR: 0.10 | Gamma: 0.80 | Epsilon: 0.05]
Probando con: LR = 0.10 | Gamma: 0.80 | Epsilon: 0.10
Promedio obtenido: 22.0685 [LR: 0.10 | Gamma: 0.80 | Epsilon: 0.10]
